"","unique_genes","Entrez","Ensembl","Symbols"
"499353",3.33565917332851,"499353","ENSRNOG00000013241","Cyp2c24"
"25012",3.01672134128654,"25012","ENSRNOG00000006037","Snap25"
"362879",2.33117661276723,"362879","ENSRNOG00000021833","Myrfl"
"25113",2.30938833777138,"25113","ENSRNOG00000059605","Ddn"
"24799",2.28939055247809,"24799","ENSRNOG00000011624","Eef1a2"
"94199",2.25797382313545,"94199","ENSRNOG00000015880","Dpep1"
"100861534",2.2180332019627,"100861534","ENSRNOG00000070263","Rn5-8s"
"65133",2.18402728070659,"65133","ENSRNOG00000009797","Aqp3"
"84347",2.16294761447629,"84347","ENSRNOG00000065511","Cacng2"
"81733",2.1437831642469,"81733","ENSRNOG00000015675","Nell1"
"300520",2.08609359534183,"300520","ENSRNOG00000033490","Vsig2"
"103692131",2.03743833076506,"103692131","ENSRNOG00000059870","Hoxa11"
"298611",1.97299440526235,"298611","ENSRNOG00000070725","Tuba1a-ps1"
"114629",1.9666424028777,"114629","ENSRNOG00000006878","Slc26a3"
"25598",1.92369536645539,"25598","ENSRNOG00000024947","Fabp2"
"64348",1.92043409772012,"64348","ENSRNOG00000049770","Cryba4"
"364973",1.91535158876928,"364973","ENSRNOG00000003737","Best2"
"29172",1.76123138241445,"29172","ENSRNOG00000014652","Aqp8"
"24324",1.73346445969791,"24324","ENSRNOG00000009390","Edn2"
"365527",1.68577317057292,"365527","ENSRNOG00000040052","RT1-M6-2"
"171449",1.66899165744895,"171449","ENSRNOG00000016857","Zg16"
"682968",1.62032961073693,"682968","ENSRNOG00000039808","Isx"
"286912",1.6099367984127,"286912","ENSRNOG00000027139","Krt20"
"25708",1.58264520154414,"25708","ENSRNOG00000017716","Ucp3"
"691703",1.55901512575129,"691703","ENSRNOG00000034236","C2cd4a"
"498888",1.55770486388158,"498888","ENSRNOG00000033588","Siglec15"
"63887",1.55356332025906,"63887","ENSRNOG00000002164","Nmu"
"246245",1.53315904298718,"246245","ENSRNOG00000003510","Fmo2"
"685128",1.52575092964036,"685128","ENSRNOG00000037782","Gkn3"
"25421",1.5166599420337,"25421","ENSRNOG00000047653","Crybb1"
"58927",1.50823690749908,"58927","ENSRNOG00000055777","Rpl36"
"299186",1.49973604257688,"299186","ENSRNOG00000008086","Dpf3"
"304353",1.49888289883939,"304353","ENSRNOG00000069743","Nxpe5l1"
"685180",1.49088997655828,"685180","ENSRNOG00000070368","Stx19"
"688893",1.45186158447333,"688893","ENSRNOG00000066054","Tex48"
"170568",1.44620818423463,"170568","ENSRNOG00000020560","Dmbt1"
"291085",1.44176356727627,"291085","ENSRNOG00000017962","Serpinb6a"
"120095940",1.43946129341396,"120095940","ENSRNOG00000068025","Ppp1r14b-ps2"
"29359",1.43287865269801,"29359","ENSRNOG00000003164","Pla2g10"
"500640",1.42906762495245,"500640","ENSRNOG00000039207","Ccdc71l"
"313017",1.4222569227036,"313017","ENSRNOG00000033153","Sfn"
"302554",1.41442063444582,"302554","ENSRNOG00000039571","Glod5"
"691309",1.40841485180046,"691309","ENSRNOG00000068427","Slc25a5-ps9"
"501204",1.40826990216967,"501204","ENSRNOG00000037230","Ppidl1"
